Cohort,Species,Mark,Date,Year,Month,Sector,Run,Length,Weight,Age,Sex,adc,Tag_loss,Adip,Remark,yob,yob_cor,Cohort_cor,Age_cor,Mark_cor,Stream,Pop,Pop_ind
C07,RT,9476,6/14/10,2010,6,1,1,301,252,3,NA,NA,NA,NA,NA,2007,2007,C07,3,9476,LIdri,LIdri_RT,1
C07,RT,9476,9/22/10,2010,9,1,2,312,296,3,NA,NA,NA,R619,NA,2007,2007,C07,3,9476,LIdri,LIdri_RT,1
C07,RT,9476,6/20/11,2011,6,1,2,325,328,4,NA,NA,NA,40,NA,2007,2007,C07,4,9476,LIdri,LIdri_RT,1
C08,RT,13509,6/19/12,2012,6,1,1,340,364.1,4,NA,1,1,12,NA,2008,2007,C07,5,9476,LIdri,LIdri_RT,1
C08,RT,9483,6/15/09,2009,6,1,1,148,36,1,NA,1,NA,NA,NA,2008,2008,C08,1,9483,LIdri,LIdri_RT,1
C08,RT,9519,6/15/09,2009,6,1,1,171,54,1,NA,NA,NA,NA,NA,2008,2008,C08,1,9519,LIdri,LIdri_RT,1
C08,RT,9519,9/7/09,2009,9,1,1,212,96,1,NA,NA,NA,NA,NA,2008,2008,C08,1,9519,LIdri,LIdri_RT,1
C06,RT,9531,6/23/08,2008,6,1,2,155,40.6,1,NA,NA,NA,NA,NA,2006,2006,C06,1,9531,LIdri,LIdri_RT,1
C07,RT,9538,6/23/08,2008,6,1,1,162,44.3,1,NA,1,NA,NA,NA,2007,2007,C07,1,9538,LIdri,LIdri_RT,1
C07,RT,9538,9/11/08,2008,9,1,1,190,64.8,1,NA,NA,NA,NA,NA,2007,2007,C07,1,9538,LIdri,LIdri_RT,1
C05,RT,9551,6/23/08,2008,6,1,1,312,339.5,3,NA,NA,NA,NA,NA,2005,2005,C05,3,9551,LIdri,LIdri_RT,1
C05,RT,9551,6/15/09,2009,6,1,1,331,358,4,NA,NA,NA,NA,NA,2005,2005,C05,4,9551,LIdri,LIdri_RT,1
C05,RT,9551,9/7/09,2009,9,1,2,337,373,4,NA,NA,NA,NA,NA,2005,2005,C05,4,9551,LIdri,LIdri_RT,1
C05,RT,9551,6/14/10,2010,6,1,1,338,366,5,NA,NA,NA,NA,NA,2005,2005,C05,5,9551,LIdri,LIdri_RT,1
C05,RT,9551,9/22/10,2010,9,1,1,344,387,5,NA,NA,NA,R611,NA,2005,2005,C05,5,9551,LIdri,LIdri_RT,1
C05,RT,9551,6/20/11,2011,6,1,2,342,401,6,NA,NA,NA,44,NA,2005,2005,C05,6,9551,LIdri,LIdri_RT,1
C08,RT,13536,6/19/12,2012,6,1,1,352,447.7,4,NA,1,1,13,NA,2008,2005,C05,7,9551,LIdri,LIdri_RT,1
C08,RT,13536,9/16/13,2013,9,1,1,362,459.3,5,NA,NA,NA,10893151,NA,2008,2005,C05,8,9551,LIdri,LIdri_RT,1
C06,RT,9576,9/13/07,2007,9,1,2,227,127.3,1,NA,NA,NA,NA,NA,2006,2006,C06,1,9576,LIdri,LIdri_RT,1
C06,RT,9592,9/13/07,2007,9,1,1,212,108.3,1,NA,NA,NA,NA,NA,2006,2006,C06,1,9592,LIdri,LIdri_RT,1
C06,RT,9592,6/23/08,2008,6,1,1,247,158.7,2,NA,NA,NA,NA,NA,2006,2006,C06,2,9592,LIdri,LIdri_RT,1
C07,RT,9352,6/15/09,2009,6,1,1,287,258,2,NA,1,1,NA,NA,2007,2006,C06,3,9592,LIdri,LIdri_RT,1
C07,RT,9352,9/7/09,2009,9,1,1,302,282,2,NA,NA,NA,NA,NA,2007,2006,C06,3,9592,LIdri,LIdri_RT,1
C07,RT,9352,6/14/10,2010,6,1,1,310,309,3,NA,NA,NA,NA,NA,2007,2006,C06,4,9592,LIdri,LIdri_RT,1
C03,RT,9602,6/10/05,2005,6,1,2,235,151.4,2,NA,1,NA,NA,NA,2003,2003,C03,2,9602,LIdri,LIdri_RT,1
C04,RT,9628,9/6/05,2005,9,1,1,184,67.8,1,NA,NA,NA,NA,NA,2004,2004,C04,1,9628,LIdri,LIdri_RT,1
C04,RT,9628,6/20/06,2006,6,1,1,250,165.8,2,NA,NA,NA,NA,NA,2004,2004,C04,2,9628,LIdri,LIdri_RT,1
C04,RT,9628,9/19/06,2006,9,1,1,279,221.3,2,NA,NA,NA,NA,NA,2004,2004,C04,2,9628,LIdri,LIdri_RT,1
C04,RT,9634,6/10/05,2005,6,1,1,145,33.7,1,NA,NA,NA,NA,NA,2004,2004,C04,1,9634,LIdri,LIdri_RT,1
C04,RT,NA,9/9/04,2004,9,1,1,80,NA,0,NA,NA,NA,R245,NA,2004,2004,C04,0,9638,LIdri,LIdri_RT,1
C04,RT,9638,6/10/05,2005,6,1,2,135,25,1,NA,1,NA,NA,NA,2004,2004,C04,1,9638,LIdri,LIdri_RT,1
C03,RT,9641,9/6/05,2005,9,1,2,292,280,2,NA,NA,NA,NA,NA,2003,2003,C03,2,9641,LIdri,LIdri_RT,1
C04,RT,9657,6/10/05,2005,6,1,1,156,40.1,1,NA,1,NA,NA,NA,2004,2004,C04,1,9657,LIdri,LIdri_RT,1
C04,RT,9657,9/6/05,2005,9,1,2,189,71.2,1,NA,NA,NA,NA,NA,2004,2004,C04,1,9657,LIdri,LIdri_RT,1
C04,RT,9665,6/10/05,2005,6,1,1,141,27.1,1,NA,NA,NA,NA,NA,2004,2004,C04,1,9665,LIdri,LIdri_RT,1
C04,RT,9665,9/6/05,2005,9,1,1,172,46.1,1,NA,NA,NA,NA,NA,2004,2004,C04,1,9665,LIdri,LIdri_RT,1
